Account_Id,Trans_Id,Age,Followers,NAME_CONTRACT_TYPE,GENDER,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_INCOME_TYPE,NAME_FAMILY_STATUS,Label
10.42.0.151-10.42.0.1-17034-53-17,100002,35,1090,Cash loans,M,202500,406597.5,24700.5,351000,Working,Single / not married,1
192.229.173.173-10.42.0.151-80-46765-6,100003,30,930,Cash loans,F,270000,1293502.5,35698.5,1129500,State servant,Married,0
10.42.0.151-10.42.0.1-31408-53-17,100004,34,640,Revolving loans,M,67500,135000,6750,135000,Working,Single / not married,0
172.217.10.234-10.42.0.151-443-40023-6,100006,39,1260,Cash loans,F,135000,312682.5,29686.5,297000,Working,Civil marriage,0
10.42.0.211-23.194.180.131-57723-443-6,100007,45,200,Cash loans,M,121500,513000,21865.5,513000,Working,Single / not married,0
10.42.0.42-121.12.98.63-52319-80-6,100008,31,1270,Cash loans,M,99000,490495.5,27517.5,454500,State servant,Married,1
172.217.12.138-10.42.0.151-443-39728-6,100009,31,1790,Cash loans,F,171000,1560726,41301,1395000,Commercial associate,Married,0
10.42.0.211-10.42.0.1-15138-53-17,100010,33,2125,Cash loans,M,360000,1530000,42075,1530000,State servant,Married,0
10.42.0.211-111.202.114.77-56143-443-6,100011,28,1290,Cash loans,F,112500,1019610,33826.5,913500,Pensioner,Married,1
10.42.0.151-23.198.165.16-44316-80-6,100012,32,1430,Revolving loans,M,135000,405000,20250,405000,Working,Single / not married,0
173.194.66.188-10.42.0.151-5228-38571-6,100014,30,3210,Cash loans,F,112500,652500,21177,652500,Working,Married,0
10.42.0.211-66.102.255.61-45960-443-6,100015,35,1140,Cash loans,F,38419.155,148365,10678.5,135000,Pensioner,Married,0
10.42.0.211-115.239.210.141-51784-80-6,100016,49,1430,Cash loans,F,67500,80865,5881.5,67500,Working,Married,0
202.77.129.150-10.42.0.211-80-42554-6,100017,39,1390,Cash loans,M,225000,918468,28966.5,697500,Working,Married,1
182.22.65.137-10.42.0.211-443-53661-6,100018,37,525,Cash loans,F,189000,773680.5,32778,679500,Working,Married,1
172.217.10.131-10.42.0.151-443-42671-6,100019,37,525,Cash loans,M,157500,299772,20160,247500,Working,Single / not married,1
