Account_Id,Trans_Id,Age,Followers,NAME_CONTRACT_TYPE,GENDER,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_INCOME_TYPE,NAME_FAMILY_STATUS,Label,results,src_port,dst_port,protocol,src_private,dst_private,credit_income_ratio,annuity_income_ratio,goods_income_ratio,followers_log,followers_neg
10.42.0.151-10.42.0.1-17034-53-17,100002,35,1090,Cash loans,M,202500.0,406597.5,24700.5,351000.0,Working,Single / not married,1,1,17034,53,17,True,True,2.007878973437168,0.12197717542135594,1.7333247737048212,6.994849985833071,0
192.229.173.173-10.42.0.151-80-46765-6,100003,30,930,Cash loans,F,270000.0,1293502.5,35698.5,1129500.0,State servant,Married,0,0,80,46765,6,False,True,4.790732256547198,0.13221617697712232,4.183317839563557,6.836259277277067,0
10.42.0.151-10.42.0.1-31408-53-17,100004,34,640,Revolving loans,M,67500.0,135000.0,6750.0,135000.0,Working,Single / not married,0,0,31408,53,17,True,True,1.9999703708093213,0.09999851854046607,1.9999703708093213,6.46302945692067,0
172.217.10.234-10.42.0.151-443-40023-6,100006,39,1260,Cash loans,F,135000.0,312682.5,29686.5,297000.0,Working,Civil marriage,0,0,443,40023,6,False,True,2.31614951000363,0.21989837112317687,2.199983703824416,7.139660335964919,0
10.42.0.211-23.194.180.131-57723-443-6,100007,45,200,Cash loans,M,121500.0,513000.0,21865.5,513000.0,Working,Single / not married,0,0,57723,443,6,True,False,4.222187471708052,0.17996148179850371,4.222187471708052,5.303304908059076,0
10.42.0.42-121.12.98.63-52319-80-6,100008,31,1270,Cash loans,M,99000.0,490495.5,27517.5,454500.0,State servant,Married,1,1,52319,80,6,True,False,4.954449955050959,0.2779517378612337,4.590862718558398,7.147559271189454,0
172.217.12.138-10.42.0.151-443-39728-6,100009,31,1790,Cash loans,F,171000.0,1560726.0,41301.0,1395000.0,Commercial associate,Married,0,0,443,39728,6,False,True,9.126999257314285,0.24152490336313823,8.157847030134327,7.490529402060711,0
10.42.0.211-10.42.0.1-15138-53-17,100010,33,2125,Cash loans,M,360000.0,1530000.0,42075.0,1530000.0,State servant,Married,0,0,15138,53,17,True,True,4.249988194477238,0.11687467534812403,4.249988194477238,7.661997558901893,0
10.42.0.211-111.202.114.77-56143-443-6,100011,28,1290,Cash loans,F,112500.0,1019610.0,33826.5,913500.0,Pensioner,Married,1,1,56143,443,6,True,False,9.06311943893832,0.3006773273126461,8.119927822863797,7.1631723908466425,0
10.42.0.151-23.198.165.16-44316-80-6,100012,32,1430,Revolving loans,M,135000.0,405000.0,20250.0,405000.0,Working,Single / not married,0,0,44316,80,6,True,False,2.9999777779423855,0.1499988888971193,2.9999777779423855,7.266128779556451,0
173.194.66.188-10.42.0.151-5228-38571-6,100014,30,3210,Cash loans,F,112500.0,652500.0,21177.0,652500.0,Working,Married,0,0,5228,38571,6,False,True,5.799948444902712,0.1882383267704287,5.799948444902712,8.074337694089515,0
10.42.0.211-66.102.255.61-45960-443-6,100015,35,1140,Cash loans,F,38419.155,148365.0,10678.5,135000.0,Pensioner,Married,0,0,45960,443,6,True,False,3.8616450141859135,0.2779400551611518,3.5137807226441433,7.039660349862076,0
10.42.0.211-115.239.210.141-51784-80-6,100016,49,1430,Cash loans,F,67500.0,80865.0,5881.5,67500.0,Working,Married,0,0,51784,80,6,True,False,1.1979822521147834,0.08713204248825944,0.9999851854046606,7.266128779556451,0
202.77.129.150-10.42.0.211-80-42554-6,100017,39,1390,Cash loans,M,225000.0,918468.0,28966.5,697500.0,Working,Married,1,1,80,42554,6,False,True,4.082061857502856,0.12873942782476522,3.0999862222834564,7.237778191923443,0
182.22.65.137-10.42.0.211-443-53661-6,100018,37,525,Cash loans,F,189000.0,773680.5,32778.0,679500.0,Working,Married,1,1,443,53661,6,False,True,4.093525960180105,0.17342765382193745,3.5952190729149582,6.26530121273771,0
172.217.10.131-10.42.0.151-443-42671-6,100019,37,525,Cash loans,M,157500.0,299772.0,20160.0,247500.0,Working,Single / not married,1,1,443,42671,6,False,True,1.9033022012558651,0.12799918730674725,1.5714185941676562,6.26530121273771,0
183.79.248.124-10.42.0.151-443-53691-6,100020,38,525,Cash loans,M,108000.0,509602.5,26149.5,387000.0,Working,Married,0,0,443,53691,6,False,True,4.718497976870585,0.24212275812260997,3.5833001546281977,6.26530121273771,0
172.217.6.206-10.42.0.151-80-41751-6,100021,34,1270,Revolving loans,F,81000.0,270000.0,13500.0,270000.0,Working,Married,0,0,80,41751,6,False,True,3.333292181578005,0.16666460907890027,3.333292181578005,7.147559271189454,0
10.42.0.211-10.42.0.1-7624-53-17,100022,34,600,Revolving loans,F,112500.0,157500.0,7875.0,157500.0,Working,Widow,0,0,7624,53,17,True,True,1.3999875556661718,0.06999937778330859,1.3999875556661718,6.398594934535208,0
10.42.0.151-10.42.0.1-38287-53-17,100023,37,1040,Cash loans,F,90000.0,544491.0,17563.5,454500.0,State servant,Single / not married,0,0,38287,53,17,True,True,6.049832779635782,0.195147831690759,5.049943889512339,6.947937068614969,0
10.42.0.211-10.42.0.1-31661-53-17,100024,35,1670,Revolving loans,M,135000.0,427500.0,21375.0,427500.0,Working,Married,1,1,31661,53,17,True,True,3.166643210050296,0.1583321605025148,3.166643210050296,7.421177528595393,0
10.42.0.211-74.6.105.9-49909-80-6,100025,41,250,Cash loans,F,202500.0,1132573.5,37561.5,927000.0,Commercial associate,Married,1,1,49909,80,6,True,False,5.59292793615834,0.18548797289889926,4.577755171579399,5.5254529391317835,0
10.42.0.211-10.42.0.1-60718-53-17,100026,28,250,Cash loans,F,450000.0,497520.0,32521.5,450000.0,Working,Married,0,0,60718,53,17,True,True,1.1055975431165708,0.07226983940035689,0.999997777782716,5.5254529391317835,0
10.42.0.211-10.42.0.1-30398-53-17,100027,27,1440,Cash loans,F,83250.0,239850.0,23850.0,225000.0,Pensioner,Married,1,1,30398,53,17,True,True,2.8810464739162294,0.2864830452487057,2.702670238195337,7.273092595999522,0
10.42.0.151-54.192.38.65-42812-443-6,100029,39,216,Cash loans,M,135000.0,247500.0,12703.5,247500.0,Working,Married,0,0,42812,443,6,True,False,1.8333197531870133,0.09409930296812616,1.8333197531870133,5.37989735354046,0
174.35.73.111-10.42.0.211-80-51177-6,100030,27,600,Cash loans,F,90000.0,225000.0,11074.5,225000.0,Working,Married,0,0,80,51177,6,False,True,2.499972222530861,0.12304863279296897,2.499972222530861,6.398594934535208,0
10.42.0.211-10.42.0.1-36086-53-17,100031,31,1340,Cash loans,F,112500.0,979992.0,27076.5,702000.0,Working,Widow,0,0,36086,53,17,True,True,8.710962569221607,0.24067786064123875,6.239944533826366,7.201170883281678,0
10.42.0.42-42.236.125.112-48507-80-6,100032,33,3020,Cash loans,M,112500.0,327024.0,23827.5,270000.0,Working,Married,1,1,48507,80,6,True,False,2.906854161296344,0.211798117350068,2.3999786668562946,8.013343181386672,0
205.185.216.42-10.42.0.211-80-47181-6,100033,29,950,Cash loans,M,270000.0,790830.0,57676.5,675000.0,State servant,Single / not married,0,0,80,47181,6,False,True,2.92898915189203,0.21361587549675742,2.499990740775034,6.85751406254539,0
10.42.0.211-74.6.105.13-58841-443-6,100034,26,1280,Revolving loans,M,90000.0,180000.0,9000.0,180000.0,Working,Single / not married,0,0,58841,443,6,True,False,1.9999777780246886,0.09999888890123443,1.9999777780246886,7.155396301896734,0
180.163.15.184-10.42.0.42-80-58579-6,100035,37,1040,Cash loans,F,292500.0,665892.0,24592.5,477000.0,Commercial associate,Civil marriage,0,0,80,58579,6,False,True,2.2765460630903824,0.08407663563543373,1.63076365550887,6.947937068614969,0
174.129.238.86-10.42.0.211-443-35532-6,100036,26,1040,Cash loans,F,112500.0,512064.0,25033.5,360000.0,Working,Civil marriage,0,0,443,35532,6,False,True,4.551639540981858,0.22251802206202612,3.1999715558083928,6.947937068614969,0
172.217.12.206-10.42.0.151-443-33781-6,100037,24,450,Cash loans,F,90000.0,199008.0,20893.5,180000.0,Working,Civil marriage,1,1,443,33781,6,False,True,2.211175431384096,0.23214742058421572,1.9999777780246886,6.111467339502679,0
10.42.0.211-40.117.145.132-47493-443-6,100039,57,520,Cash loans,M,360000.0,733315.5,39069.0,679500.0,Commercial associate,Married,0,0,47493,443,6,True,False,2.036981841717106,0.10852469854250404,1.8874947569590084,6.255750041753367,0
172.217.12.202-10.42.0.211-443-46886-6,100040,27,1140,Cash loans,F,135000.0,1125000.0,32895.0,1125000.0,State servant,Married,1,1,443,46886,6,False,True,8.333271605395515,0.24366486174176488,8.333271605395515,7.039660349862076,0
10.42.0.211-119.146.74.33-54402-443-6,100041,40,2857,Cash loans,F,112500.0,450000.0,44509.5,450000.0,Working,Married,0,0,54402,443,6,True,False,3.999964444760491,0.39563648323126016,3.999964444760491,7.957877358489813,0
203.205.147.229-10.42.0.211-80-58480-6,100043,33,2790,Cash loans,F,198000.0,641173.5,23157.0,553500.0,Commercial associate,Married,1,1,80,58480,6,False,True,3.2382336452846197,0.11695395477800617,2.79544042706855,7.934155233536322,0
10.42.0.211-58.63.236.212-46650-443-6,100044,40,1070,Cash loans,M,121500.0,454500.0,15151.5,454500.0,Working,Married,0,0,46650,443,6,True,False,3.740709953004502,0.12470267734421939,3.740709953004502,6.976348070447749,0
140.205.164.47-10.42.0.211-443-58825-6,100045,42,433,Cash loans,F,99000.0,247275.0,17338.5,225000.0,Pensioner,Married,1,1,443,58825,6,False,True,2.4977020434137027,0.17513459460005454,2.272704316118019,6.073044534100405,0
10.42.0.211-66.231.239.96-41453-80-6,100046,33,0,Revolving loans,M,180000.0,540000.0,27000.0,540000.0,Working,Married,0,0,41453,80,6,True,False,2.9999833334259254,0.14999916667129626,2.9999833334259254,0.0,0
10.42.0.42-54.230.36.186-47194-443-6,100047,34,1290,Cash loans,M,202500.0,1193580.0,35028.0,855000.0,Commercial associate,Married,1,1,47194,443,6,True,False,5.894193115095728,0.1729769235707478,4.2222013718450775,7.1631723908466425,0
